arm,init_id,channel,coordinate_mean,coordinate_std,coordinate_min,coordinate_max
mcq,noise-seed-07,1,0.5230949093037665,0.3370934226724327,-0.6371139287948608,1.5938833951950073
open,noise-seed-00,1,0.5272022424116116,0.3229797617207401,-0.6231088042259216,1.5583670139312744
open,noise-seed-01,1,0.5156916898344264,0.3163506286154018,-0.5810016989707947,1.5109882354736328
open,noise-seed-02,1,0.5096564713768297,0.32645724494337625,-0.6244133114814758,1.4784976243972778
open,noise-seed-03,1,0.5176161046060199,0.3233894318308458,-0.6780402660369873,1.7173206806182861
open,noise-seed-04,1,0.512255734870303,0.3162315826179163,-0.6548399329185486,1.7371997833251953
open,noise-seed-05,1,0.5189628968191932,0.3242195144732992,-0.5232692360877991,1.834118127822876
open,noise-seed-06,1,0.5183747364228117,0.33233869384068676,-0.6377965807914734,1.7259007692337036
open,noise-seed-07,1,0.5190259594499285,0.3241999558669157,-0.5758983492851257,1.8978729248046875
mcq,noise-seed-00,2,0.41995120339305925,0.35347325962780163,-1.3427561521530151,1.526233196258545
mcq,noise-seed-01,2,0.4229962493331638,0.34783875803726916,-1.4843449592590332,1.4480609893798828
mcq,noise-seed-02,2,0.41831503376308454,0.3490112338888788,-1.3679827451705933,1.3410807847976685
mcq,noise-seed-03,2,0.4174583455023851,0.347048058871422,-1.4153428077697754,1.4153590202331543
mcq,noise-seed-04,2,0.4214849238534564,0.3468771293903541,-1.5945382118225098,1.412827968597412
mcq,noise-seed-05,2,0.4193856446556046,0.3498076847350846,-1.896888256072998,1.7084920406341553
mcq,noise-seed-06,2,0.42001329076616956,0.34410881728547604,-1.4343233108520508,1.3967114686965942
mcq,noise-seed-07,2,0.4221516706451449,0.3655591863590169,-1.6176587343215942,1.5104949474334717
open,noise-seed-00,2,0.4194240162987134,0.344063212989451,-1.5950835943222046,1.3733750581741333
open,noise-seed-01,2,0.4244447010313248,0.3419328151183713,-1.3424692153930664,1.3439764976501465
open,noise-seed-02,2,0.41810926836422446,0.3525494060983297,-1.4520082473754883,1.452871322631836
open,noise-seed-03,2,0.419174454208345,0.3465657691115638,-1.313413381576538,1.436166524887085
open,noise-seed-04,2,0.42457196792678553,0.3397602321623907,-1.7011191844940186,1.3012720346450806
open,noise-seed-05,2,0.4176735340925948,0.3471884099182803,-1.3014473915100098,1.5802735090255737
open,noise-seed-06,2,0.41830375828776845,0.3554517529672555,-1.4189656972885132,1.5296303033828735
open,noise-seed-07,2,0.4193713687316026,0.353556525666552,-1.5765889883041382,1.5417557954788208
mcq,noise-seed-00,3,-0.5751717089474706,0.321430887577791,-1.7431436777114868,0.529003918170929
mcq,noise-seed-01,3,-0.5819017056535927,0.3157402262503923,-1.615540862083435,0.43099063634872437
mcq,noise-seed-02,3,-0.5763413131977233,0.31949255701255747,-1.7365615367889404,0.5462878942489624
mcq,noise-seed-03,3,-0.5749068615952542,0.3164728618796207,-1.7793071269989014,0.3740759789943695
mcq,noise-seed-04,3,-0.5785914010696586,0.3147510399558227,-1.6920840740203857,0.4854786694049835
mcq,noise-seed-05,3,-0.5747248794131887,0.32362727759301874,-1.7538567781448364,0.42600932717323303
mcq,noise-seed-06,3,-0.5770956543352034,0.3115569322117599,-1.6402024030685425,0.4728640615940094
mcq,noise-seed-07,3,-0.5734966296358186,0.3374113033787724,-1.6370352506637573,0.48353224992752075
open,noise-seed-00,3,-0.575264553836014,0.3186695140989649,-1.7089643478393555,0.422914981842041
open,noise-seed-01,3,-0.5777046232708098,0.3121171339079221,-1.5897518396377563,0.33976322412490845
open,noise-seed-02,3,-0.5785334625852778,0.32109642626864104,-1.6360219717025757,0.48893025517463684
open,noise-seed-03,3,-0.5755451616112914,0.3191865086567058,-1.7791211605072021,0.6330540776252747
open,noise-seed-04,3,-0.5793501982803146,0.3117077878165931,-1.5911493301391602,0.4441118836402893
open,noise-seed-05,3,-0.5762538899464702,0.31639235834610097,-1.634185791015625,0.6203908324241638
open,noise-seed-06,3,-0.5774345746395229,0.32927420393916107,-1.6937742233276367,0.39681127667427063
open,noise-seed-07,3,-0.5802658260994704,0.3185061701706853,-1.672380805015564,0.5923197865486145
