arm,step,split,segment_id,coefficient_norm,coefficient_max_abs,latent_delta_rms,image_saturation_fraction,basis_norm_min,basis_norm_max
constant-control,288,train_audit,r5-f1-ecf4946e7096b0f851fa9165,0.07638635749605589,0.019832191988825798,0.12004200369119644,0.0,2.0055461935182053,3.2843196090208755
constant-control,288,train_audit,r5-f1-c4577184ceeecd7502540cd3,0.07638635749605589,0.019832191988825798,0.12004200369119644,0.0,2.0055461935182053,3.2843196090208755
constant-control,288,dev_select,r5-f1-e1fb95a44d70110ed3edaaa4,0.07638635749605589,0.019832191988825798,0.12004200369119644,0.0,2.0055461935182053,3.2843196090208755
constant-control,288,dev_select,r5-f1-b7cedb01e540ac07603e9798,0.07638635749605589,0.019832191988825798,0.12004200369119644,0.0,2.0055461935182053,3.2843196090208755
constant-control,288,dev_select,r5-f1-8bbbdbfcc40737c52a64335f,0.07638635749605589,0.019832191988825798,0.12004200369119644,0.0,2.0055461935182053,3.2843196090208755
constant-control,288,dev_select,r5-f1-faf86750587c2c0a7b934b3a,0.07638635749605589,0.019832191988825798,0.12004200369119644,0.0,2.0055461935182053,3.2843196090208755
constant-control,576,train_audit,r5-f1-ee59008270e04ddeb87f5940,0.06217272324312531,0.01996060460805893,0.09930814057588577,0.0,2.797263120873798,4.254170285670099
constant-control,576,train_audit,r5-f1-74bd80f2dff32f9fd1ee2f05,0.06217272324312531,0.01996060460805893,0.09930814057588577,0.0,2.797263120873798,4.254170285670099
constant-control,576,train_audit,r5-f1-ecf4946e7096b0f851fa9165,0.06217272324312531,0.01996060460805893,0.09930814057588577,0.0,2.797263120873798,4.254170285670099
constant-control,576,train_audit,r5-f1-c4577184ceeecd7502540cd3,0.06217272324312531,0.01996060460805893,0.09930814057588577,0.0,2.797263120873798,4.254170285670099
constant-control,576,dev_select,r5-f1-e1fb95a44d70110ed3edaaa4,0.06217272324312531,0.01996060460805893,0.09930814057588577,0.0,2.797263120873798,4.254170285670099
constant-control,576,dev_select,r5-f1-b7cedb01e540ac07603e9798,0.06217272324312531,0.01996060460805893,0.09930814057588577,0.0,2.797263120873798,4.254170285670099
constant-control,576,dev_select,r5-f1-8bbbdbfcc40737c52a64335f,0.06217272324312531,0.01996060460805893,0.09930814057588577,0.0,2.797263120873798,4.254170285670099
constant-control,576,dev_select,r5-f1-faf86750587c2c0a7b934b3a,0.06217272324312531,0.01996060460805893,0.09930814057588577,0.0,2.797263120873798,4.254170285670099
constant-control,864,train_audit,r5-f1-ee59008270e04ddeb87f5940,0.07245024800551468,0.019268259406089783,0.13241013884544373,0.0,2.948345291312576,4.545443823493475
constant-control,864,train_audit,r5-f1-74bd80f2dff32f9fd1ee2f05,0.07245024800551468,0.019268259406089783,0.13241013884544373,0.0,2.948345291312576,4.545443823493475
constant-control,864,train_audit,r5-f1-ecf4946e7096b0f851fa9165,0.07245024800551468,0.019268259406089783,0.13241013884544373,0.0,2.948345291312576,4.545443823493475
constant-control,864,train_audit,r5-f1-c4577184ceeecd7502540cd3,0.07245024800551468,0.019268259406089783,0.13241013884544373,0.0,2.948345291312576,4.545443823493475
constant-control,864,dev_select,r5-f1-e1fb95a44d70110ed3edaaa4,0.07245024800551468,0.019268259406089783,0.13241013884544373,0.0,2.948345291312576,4.545443823493475
constant-control,864,dev_select,r5-f1-b7cedb01e540ac07603e9798,0.07245024800551468,0.019268259406089783,0.13241013884544373,0.0,2.948345291312576,4.545443823493475
constant-control,864,dev_select,r5-f1-8bbbdbfcc40737c52a64335f,0.07245024800551468,0.019268259406089783,0.13241013884544373,0.0,2.948345291312576,4.545443823493475
constant-control,864,dev_select,r5-f1-faf86750587c2c0a7b934b3a,0.07245024800551468,0.019268259406089783,0.13241013884544373,0.0,2.948345291312576,4.545443823493475
constant-control,1152,train_audit,r5-f1-ee59008270e04ddeb87f5940,0.6186301926301205,0.14554594457149506,1.0841330289840698,0.0890188217163086,5.1316877167734924,7.737566497053462
constant-control,1152,train_audit,r5-f1-74bd80f2dff32f9fd1ee2f05,0.6186301926301205,0.14554594457149506,1.0841330289840698,0.0890188217163086,5.1316877167734924,7.737566497053462
constant-control,1152,train_audit,r5-f1-ecf4946e7096b0f851fa9165,0.6186301926301205,0.14554594457149506,1.0841330289840698,0.0890188217163086,5.1316877167734924,7.737566497053462
constant-control,1152,train_audit,r5-f1-c4577184ceeecd7502540cd3,0.6186301926301205,0.14554594457149506,1.0841330289840698,0.0890188217163086,5.1316877167734924,7.737566497053462
constant-control,1152,dev_select,r5-f1-e1fb95a44d70110ed3edaaa4,0.6186301926301205,0.14554594457149506,1.0841330289840698,0.0890188217163086,5.1316877167734924,7.737566497053462
constant-control,1152,dev_select,r5-f1-b7cedb01e540ac07603e9798,0.6186301926301205,0.14554594457149506,1.0841330289840698,0.0890188217163086,5.1316877167734924,7.737566497053462
constant-control,1152,dev_select,r5-f1-8bbbdbfcc40737c52a64335f,0.6186301926301205,0.14554594457149506,1.0841330289840698,0.0890188217163086,5.1316877167734924,7.737566497053462
constant-control,1152,dev_select,r5-f1-faf86750587c2c0a7b934b3a,0.6186301926301205,0.14554594457149506,1.0841330289840698,0.0890188217163086,5.1316877167734924,7.737566497053462
