update,current_loss,current_loss_ratio_to_plateau,selected_loss,selected_loss_ratio_to_plateau,selected_radius_l2,relative_improvement,gradient_norm,gradient_nonzero_fraction,analytic_directional_derivative,negative_gradient_cosine,curvature_pair_accepted,curvature_s_dot_y,curvature_cosine,history_size_used,initial_inverse_hessian_scale,restart_reason
22,8.797910595603753e-07,0.048938603418627866,8.376757705264026e-07,0.04659592966046945,0.01,0.047869648794814236,3.2308496028240166e-05,1.0,-1.1528255606097003e-05,0.35681808252980135,True,1.950723034882417e-07,0.45586489630399013,10,106.53124307054108,none
23,8.376758842132404e-07,0.04659593598432897,8.111171609925805e-07,0.04511860019092997,0.01,0.031705249871917106,2.022554983552551e-05,1.0,-5.864941907148491e-06,0.2899768837544328,True,1.450750898170506e-07,0.3096693964446675,10,66.10046352300108,none
24,8.111171609925805e-07,0.04511860019092997,7.806520443409681e-07,0.04342397026065937,0.01,0.03755945271128471,1.454407391384294e-05,1.0,-4.92599059942789e-06,0.33869400221075907,True,6.505348000664472e-08,0.22420895681305414,10,77.2748159891724,none
25,7.806520443409681e-07,0.04342397026065937,7.537226451859169e-07,0.04192601552330443,0.03,0.03449603360455579,1.091617916051195e-05,1.0,-3.394360708163532e-06,0.3109476913849489,True,3.753207791106837e-08,0.222640439820782,10,132.07151962181968,none
26,7.537225883424981e-07,0.04192601236137468,7.203969403235533e-07,0.04007226463986126,0.01,0.04421473965936299,1.6985640408309e-05,1.0,-1.1193077017458623e-05,0.6589729171728564,True,1.5056327771154362e-07,0.29414417305262375,10,517.181936483776,none
27,7.203969971669721e-07,0.04007226780179102,6.93205379320716e-07,0.03855972708245959,0.003,0.037745323694004386,2.337143598267302e-05,1.0,-1.4695199548972477e-05,0.6287675055284003,True,1.5759121742825276e-07,0.49779710890552287,10,157.24459583460484,none
28,6.93205379320716e-07,0.03855972708245959,6.747172278664948e-07,0.037531318914259086,0.01,0.026670525079216904,1.1716607083591083e-05,1.0,-3.8123308415658166e-06,0.32537839747040076,True,3.333919144256348e-08,0.6254006314717138,10,105.58722611693112,none
29,6.747172278664948e-07,0.037531318914259086,6.570344339706935e-07,0.03654770896687866,0.01,0.02620771067564939,1.0953740173611697e-05,1.0,-3.0575565221918176e-06,0.27913356290253843,True,3.9409292392688544e-08,0.23784177325640962,10,143.5408039451544,none
30,6.570344339706935e-07,0.03654770896687866,6.356723929457075e-07,0.035359439953942064,0.01,0.03251281808152355,1.2913784400258014e-05,1.0,-3.062441948056877e-06,0.2371451969788959,True,2.5770531409729384e-08,0.17153490510841293,10,114.17808937125079,none
31,6.356723929457075e-07,0.035359439953942064,6.165812465042109e-07,0.034297490034862176,0.01,0.03003299601077255,8.620714912906798e-06,1.0,-3.0139006764602103e-06,0.34961145437166247,True,1.8486083530709675e-08,0.21319693732306008,10,245.8754584442197,none
32,6.165812465042109e-07,0.034297490034862176,5.998023766551341e-07,0.03336416109450325,0.01,0.027212747621188214,8.849706247914168e-06,1.0,-2.632544114044087e-06,0.29747248568758833,True,2.2191601801613402e-08,0.22332950972488433,10,224.75079548112177,none
33,5.998023766551341e-07,0.03336416109450325,5.809497451991774e-07,0.032315478632690506,0.01,0.03143140505893051,8.51797719449881e-06,1.0,-2.874268482944328e-06,0.33743556902983485,True,1.9106866081344184e-08,0.1886910163456101,10,186.34376622092532,none
34,5.809497451991774e-07,0.032315478632690506,5.613094344880665e-07,0.031222981310212627,0.01,0.03380724558950844,7.6180958559588445e-06,1.0,-2.7408041714063366e-06,0.35977548999299774,True,1.9767883196817583e-08,0.33415998062286445,10,564.8758182313995,none
35,5.613094913314853e-07,0.031222984472142386,5.44716272088408e-07,0.030299982394375105,0.01,0.02956162241924052,8.440022111696226e-06,1.0,-2.363824872903639e-06,0.2800733031052621,True,1.558974755509559e-08,0.21587897533039843,10,298.9373313515793,none
36,5.44716272088408e-07,0.030299982394375105,5.357972554520529e-07,0.0298038598055995,0.01,0.01637369231170593,6.863874808357502e-06,1.0,-2.0192221450007444e-06,0.29418108591619874,True,1.4067196052837297e-08,0.16685440892878567,10,197.9075945609913,none
37,5.357972554520529e-07,0.0298038598055995,5.296801077747659e-07,0.029463591896555823,0.003,0.011416907449676926,1.3165994037160432e-05,1.0,-2.663756344591456e-06,0.20232094410617782,True,2.235063409510533e-08,0.13544628254402824,10,82.08092974643753,none
38,5.296801646181848e-07,0.029463595058485583,5.2247213488954e-07,0.029062646555444313,0.01,0.013608268177911862,7.76059130493086e-06,1.0,-2.3175573331720914e-06,0.29863154034452377,True,3.7660489830479015e-09,0.17992082415856842,10,77.35905067875616,none
39,5.224720780461212e-07,0.029062643393514553,5.117070713822613e-07,0.028463837135827903,0.003,0.02060398462654217,1.548386083718741e-05,1.0,-8.594509669325435e-06,0.5550624462052212,True,3.2039768786091765e-08,0.16369090497727376,10,83.62947898468603,none
40,5.117070713822613e-07,0.028463837135827903,4.995878271074616e-07,0.027789701063571988,0.01,0.023683949182219242,9.132090117962663e-06,1.0,-1.8076641939697668e-06,0.1979463815124235,True,2.9694862559085352e-08,0.44205213547145017,10,59.225616317053635,none
41,4.995878271074616e-07,0.027789701063571988,4.889773776994844e-07,0.027199492092899014,0.01,0.021238406606922732,5.333097965198213e-06,1.0,-1.4154259428535103e-06,0.26540407663630233,True,1.1951763576580112e-08,0.1418759507829706,10,168.41817749022766,none
42,4.889773208560655e-07,0.027199488930969254,4.758051375119976e-07,0.026466782852829624,0.01,0.026938229611563582,6.145798026306319e-06,1.0,-1.766401587222527e-06,0.28741614686125455,True,7.08680862207782e-09,0.2085467444904079,10,613.7082348182514,none
43,4.7580516593370703e-07,0.026466784433794504,4.6530576014447433e-07,0.025882752292904983,0.01,0.022066607386720886,6.695182995265288e-06,1.0,-1.4674033609670912e-06,0.2191730026073959,True,8.985618924948903e-09,0.154351171354648,10,265.1360030397936,none
44,4.6530578856618376e-07,0.025882753873869863,4.563042352856428e-07,0.02538204016308475,0.01,0.01934545733522638,6.1979456638046505e-06,1.0,-1.4499281685098528e-06,0.23393689572101017,True,8.341954710327089e-09,0.12256628961068079,10,180.08287227600923,none
45,4.563042637073522e-07,0.02538204174404963,4.49762296739209e-07,0.025018143152954937,0.01,0.014336852596974396,5.47862130553091e-06,1.0,-1.3904321739214685e-06,0.253792349751793,True,1.1053216541258112e-08,0.15691798531454604,10,222.7689737120375,none
46,4.497623251609184e-07,0.025018144733919816,4.3585484377217654e-07,0.02424453751338761,0.01,0.030921846074514973,7.873759609521919e-06,1.0,-2.8515047950874907e-06,0.36215289014251406,True,1.4737408541691572e-08,0.16198600565049256,10,178.04619128340306,none
47,4.3585484377217654e-07,0.02424453751338761,4.2718420445453376e-07,0.023762230976692278,0.003,0.019893410481804732,9.227879082233571e-06,1.0,-4.066637640538759e-06,0.44069039076993616,True,2.9412940622487234e-08,0.2195451956748657,10,163.87642491227035,none
48,4.2718420445453376e-07,0.023762230976692278,4.215317801481433e-07,0.023447813424390163,0.003,0.013231819546342938,5.81796756655797e-06,1.0,-2.5068607743540215e-06,0.43088256381813256,True,7.0557386984065365e-09,0.3722964799803088,10,176.80281699522666,none
49,4.2153180856985273e-07,0.023447815005355043,4.148239156620548e-07,0.023074686741294953,0.01,0.015913135785781074,4.258789687926627e-06,1.0,-1.2032046659976569e-06,0.28252267747786003,True,3.770138237473751e-09,0.26838910583042813,10,171.95574631416105,none
50,4.1482388724034536e-07,0.023074685160330077,4.111005296181247e-07,0.022867572437281228,0.003,0.008975755101738791,5.484489447028854e-06,1.0,-2.3394160882882312e-06,0.42655129753557824,True,1.0917668941618746e-08,0.22877361986753247,10,479.37950690939033,none
51,4.111005296181247e-07,0.022867572437281228,4.05102724698736e-07,0.022533942999765764,0.003,0.014589630728425835,1.0565741692721332e-05,1.0,-2.983256466877312e-06,0.28235182675997594,True,6.613778031718623e-09,0.2323199051230856,10,73.44358905306964,none
52,4.051027531204454e-07,0.022533944580730644,4.0161793890547415e-07,0.022340100895913824,0.003,0.008602297042239944,5.515876336763241e-06,1.0,-1.5727040699213102e-06,0.2851231562320889,True,5.880372128498334e-09,0.24604290344748642,10,92.65203331955537,none
53,4.016179104837647e-07,0.022340099314948948,3.967621751144179e-07,0.022069997789178713,0.01,0.012090435318230397,4.040739155823985e-06,1.0,-1.639392694090944e-06,0.4057160411811081,True,2.49257130786823e-09,0.24167164880502662,10,210.8813807860013,none
54,3.967621751144179e-07,0.022069997789178713,3.9038198451635253e-07,0.02171509805017704,0.003,0.0160806422543315,8.611380707611564e-06,1.0,-3.0000293798657795e-06,0.34837960174463484,True,2.311159823087074e-08,0.24937040449412348,10,269.0659065810406,none
55,3.9038201293806196e-07,0.02171509963114192,3.855008117170655e-07,0.02144358156083983,0.003,0.012503652984060249,5.026390496582659e-06,1.0,-2.3367777303105194e-06,0.46490174802867845,True,5.247017202296068e-09,0.33667777383369946,10,194.43323352643347,none
56,3.855008117170655e-07,0.02144358156083983,3.803927484113956e-07,0.0211594442288711,0.01,0.013250460570804043,3.3305163005192286e-06,1.0,-9.962759133878408e-07,0.2991355765763057,True,4.229534383311417e-09,0.23483765770111903,10,117.35010726507082,none
57,3.8039271998968616e-07,0.021159442647906222,3.7536003105742566e-07,0.020879498034797415,0.01,0.013230245132969299,5.158504631562058e-06,1.0,-9.386490250489185e-07,0.1819614582680824,True,9.684989683918423e-09,0.1872676207664841,10,362.102999916275,none
58,3.7536000263571623e-07,0.02087949645383254,3.680319764498563e-07,0.02047187311707083,0.01,0.019522661270257168,8.966772773085806e-06,1.0,-1.006606860912743e-06,0.11225965970299567,True,8.654198924143468e-09,0.0992807814011373,10,113.89384773235777,none
59,3.680319764498563e-07,0.02047187311707083,3.6277654658078973e-07,0.02017953848220289,0.01,0.014279818617289679,5.281509760035235e-06,1.0,-8.93032314301292e-07,0.16908655948017012,True,5.483014674086443e-09,0.10285427239161955,10,192.9394447497841,none
60,3.6277654658078973e-07,0.02017953848220289,3.5884926319340593e-07,0.019961082336145006,0.01,0.010825626475578116,4.0703732179319825e-06,1.0,-8.826139294844194e-07,0.2168385754136917,True,7.384073248403839e-09,0.11518501560617025,10,179.67742951898128,none
61,3.5884926319340593e-07,0.019961082336145006,3.5401458831074706e-07,0.01969215230535034,0.003,0.01347271787500695,6.9611552092902435e-06,1.0,-2.6719769287338543e-06,0.38384102132943904,True,9.815975792801446e-09,0.13142851111554962,10,175.97513911906162,none
62,3.5401458831074706e-07,0.01969215230535034,3.509069586016267e-07,0.019519289605446816,0.003,0.00877825324642429,5.196015017580478e-06,1.0,-1.6204769134335724e-06,0.31186917429596905,True,6.376778073208677e-09,0.2612106626903197,10,96.29889755022307,none
63,3.509069870233361e-07,0.019519291186411696,3.482792578779481e-07,0.019373123078495286,0.01,0.007488392202385108,4.328740504572802e-06,1.0,-7.903368433981663e-07,0.1825789377851138,True,3.4943413445308896e-09,0.18631162841732257,10,89.40587188838194,none
64,3.4827928629965754e-07,0.019373124659460166,3.438410089984245e-07,0.019126244345837207,0.003,0.012743443195798789,5.91994458279129e-06,1.0,-2.000333758584542e-06,0.33789737876167725,True,1.053907965825025e-08,0.17160528677629291,10,279.42116602436766,none
65,3.4384103742013394e-07,0.019126245926802087,3.3883105743370834e-07,0.018847564504631847,0.01,0.014570628404380918,4.099271140127306e-06,1.0,-1.0538856449805118e-06,0.2570909824625611,True,3.129445261179615e-09,0.2104945003486942,10,127.42532148635532,none
66,3.388311142771272e-07,0.018847567666561607,3.314690957267885e-07,0.018438053495804244,0.01,0.02172769335556756,5.397878616455676e-06,1.0,-1.0130291818442544e-06,0.1876717231971977,True,1.1063031416332133e-08,0.17035425699898987,10,262.31914862153315,none
67,3.314690673050791e-07,0.018438051914839368,3.257240734910738e-07,0.018118485159925347,0.01,0.017331915344962427,3.7072336200808453e-06,1.0,-8.468790773710414e-07,0.22843963030612865,True,5.524879394212768e-09,0.11273375181462308,10,230.02786055461704,none
68,3.257240734910738e-07,0.018118485159925347,3.212786054973549e-07,0.017871204862187923,0.01,0.013647956523670166,3.5443245055703233e-06,1.0,-6.533240171162134e-07,0.18432962780930748,True,5.440442939048075e-09,0.13369419796834434,10,328.54489978806953,none
69,3.212786054973549e-07,0.017871204862187923,3.1669168265580083e-07,0.017616056102246185,0.03,0.014277087745862388,4.62595716311625e-06,1.0,-5.689752462623562e-07,0.12299622029431448,True,4.16871068313759e-09,0.11397975915451795,10,311.6448482478635,none
70,3.1669168265580083e-07,0.017616056102246185,3.1231718367052963e-07,0.017372723473812392,0.003,0.013813116115290168,8.076198797082215e-06,1.0,-2.020201930137529e-06,0.25014267010062685,True,2.513920900213103e-08,0.08880711550914125,10,282.3490515530567,none
71,3.1231718367052963e-07,0.017372723473812392,3.074237611144781e-07,0.017100525588612196,0.01,0.01566811822052577,4.520725743757932e-06,1.0,-1.0522432271062898e-06,0.23275980156383766,True,3.3581009657932305e-09,0.17699605477628197,10,83.95987472618766,none
72,3.0742370427105925e-07,0.017100522426682436,3.0128299499665445e-07,0.016758943897753814,0.03,0.019974742315219975,5.034098964866957e-06,1.0,-6.123825426866009e-07,0.12164690186077794,True,1.1266692748391155e-08,0.17961168022885232,10,286.3337499759996,none
