iteration,accepted,current_loss_ratio_to_plateau,selected_loss_ratio_to_plateau,selected_radius_l2,relative_improvement,gradient_norm,beta_raw,beta,restart_reason,negative_gradient_cosine
22,True,0.07508496737647352,0.07125711623911474,0.003,0.05098025971252094,4.7292711252987015e-05,0.012011479743041202,0.012011479743041202,none,0.9992885894857348
23,True,0.07125711623911474,0.07070652941024698,0.001,0.007726762714059017,1.7350440689973166e-05,0.18648959549460672,0.18648959549460672,none,0.8790236827995089
24,True,0.0707065357341065,0.06947624783660766,0.003,0.01739991762749292,1.1873374771685646e-05,0.12421852356221082,0.12421852356221082,none,0.9866777721858359
25,True,0.06947625416046718,0.06765817616856071,0.01,0.026168336417609857,1.5329598513536988e-05,1.5216224617669256,1.5216224617669256,none,0.7043324474345364
26,True,0.06765818249242023,0.06730953546951622,0.003,0.005153065158719959,4.254070919518728e-05,8.914782619173074,8.914782619173074,none,0.0698115647401629
27,True,0.06730954179337573,0.06558443086023208,0.001,0.025629515328440818,4.4077976759829125e-05,0.044209023152138864,0.044209023152138864,none,0.9722194462210485
28,True,0.06558443086023208,0.06479409386934704,0.001,0.012050680024491488,2.1786341155389865e-05,-0.20666356695273494,0.0,negative_beta_clamped,0.9999999999999927
29,True,0.06479409386934704,0.06362501460811548,0.003,0.01804299113417535,1.2945319569619521e-05,0.04067110391845627,0.04067110391845627,none,0.9984244125291887
30,True,0.06362500828425596,0.0625920817184304,0.003,0.0162346000995517,1.800693177564222e-05,1.8940918518948078,1.8940918518948078,none,0.6084594915026236
31,True,0.06259206907071137,0.061898721113242114,0.003,0.011077249366624624,1.2230928466790559e-05,0.42948889164674314,0.42948889164674314,none,0.7160049375877584
32,True,0.061898721113242114,0.059385834352317896,0.03,0.04059674765052016,1.5148062894159911e-05,1.778983168477063,1.778983168477063,none,0.3775987481147981
33,True,0.059385834352317896,0.0562528805180101,0.03,0.05275591171660477,4.367935554487436e-05,6.695797623149289,6.695797623149289,none,0.11227420693363661
34,True,0.0562528805180101,0.04889546204900131,0.01,0.1307918528128211,3.430731737499108e-05,0.13787751300730894,0.13787751300730894,none,0.6890804370985306
35,True,0.04889545572514179,0.04626369621494242,0.003,0.053824214769433804,2.8781389373420064e-05,0.5426772422350598,0.5426772422350598,none,0.774337126069709
36,True,0.04626369937687218,0.04456071562817932,0.003,0.036810366910351354,1.9350173930273795e-05,0.12432614712274795,0.12432614712274795,none,0.9794482525224418
37,True,0.044560721952038834,0.04342114033352541,0.003,0.025573679433200634,1.9233677408116983e-05,1.037734021040212,1.037734021040212,none,0.6772463226173356
38,True,0.04342113717159565,0.042614310717019425,0.003,0.01858142156405835,1.2037834746811377e-05,0.4072670863758828,0.4072670863758828,none,0.7014345082325892
39,True,0.042614310717019425,0.042361938131405756,0.001,0.0059222496238307476,7.73381051348903e-06,0.25553806885879654,0.25553806885879654,none,0.8827040768720682
40,True,0.042361934969475996,0.04185499225706641,0.003,0.011966939488832762,5.373563527518489e-06,0.22459603355723276,0.22459603355723276,none,0.9549923522279153
