arm,step,init_id,latent_rms,latent_l2,to_reference_cosine,to_reference_l2,to_reference_rmse,to_own_start_cosine,to_own_start_l2,to_own_start_rmse,to_same_arm_blank_cosine,to_same_arm_blank_l2,to_same_arm_blank_rmse
mcq,1,noise-seed-02,0.5720079496473989,146.4340351097341,0.9911803108898439,19.405596900813503,0.07580311289380672,0.9961723179168106,12.799973175522151,0.04999989521689037,0.9873257277009463,23.268074551085597,0.09089091621518053
mcq,1,noise-seed-03,0.5723622871653437,146.52474551432798,0.9913390059128165,19.242806378285366,0.07516721241518134,0.9961770853601061,12.799980804562864,0.049999925017831376,0.9875530310863759,23.06880767593987,0.09011252998414239
mcq,1,noise-seed-04,0.5726357244261135,146.59474545308507,0.9911941010743422,19.41183455955488,0.07582747874826534,0.9961807401855539,12.799969843066267,0.04999988219948501,0.9875510913807318,23.07865764838851,0.09015100643901977
mcq,1,noise-seed-05,0.5724048900956942,146.5356518644977,0.991209947957755,19.386444122327447,0.07572829735284553,0.99617763197888,12.799978708072848,0.04999991682841661,0.9873024516850275,23.300823684094297,0.0910188425159956
mcq,1,noise-seed-06,0.5720954575608156,146.4564371355688,0.9912488248462887,19.333272291400363,0.0755205948882867,0.9961734876731544,12.799977734768824,0.04999991302644788,0.9873624107645294,23.236885707163164,0.09076908479360839
mcq,1,noise-seed-07,0.5721875600510548,146.48001537307002,0.9913338182915126,19.24262512722905,0.0751665044032426,0.9961748135664797,12.799952960469911,0.04999981625184296,0.9875940456888005,23.025781461190185,0.08994445883277638
mcq,2,noise-seed-00,0.5743013330195742,147.021141253011,0.9865120609756058,24.06633412922236,0.09400911769227888,0.9914038879843149,19.236186167986467,0.07514135221870098,0.9778666961847423,30.874817984932246,0.12060475775364411
mcq,2,noise-seed-01,0.5754588935841518,147.31747675754286,0.9863453231747454,24.26193290185907,0.09477317539789124,0.9912680137496441,19.42566152629032,0.0758814903370753,0.9776569016162242,31.059176562735352,0.1213249084481875
mcq,2,noise-seed-02,0.5745155403800704,147.075978337298,0.986617340128767,23.981394733776533,0.09367732317881862,0.991573120676589,19.05345599052407,0.07442756246298857,0.9779710248468665,30.80886308024744,0.12034712140721923
mcq,2,noise-seed-03,0.5750221643208459,147.20567406613654,0.9867182859336091,23.91223844376552,0.09340718142096316,0.9915175188779173,19.13279739166954,0.07473748981121305,0.9781975162886376,30.666721140373607,0.11979187945458704
mcq,2,noise-seed-04,0.5754376190986285,147.31203048924888,0.9864245715764676,24.19103894977104,0.09449624589754725,0.9913516831483046,19.332078289055882,0.07551593081662833,0.9783331942043075,30.585184967524455,0.11947337877939494
mcq,2,noise-seed-05,0.5754160443054225,147.30650734218816,0.9862090092337507,24.379985766413924,0.09523431940005837,0.9911710194830481,19.531327240077733,0.07629424703155725,0.977493486930632,31.1709802735619,0.12176164169360362
mcq,2,noise-seed-06,0.574692789496796,147.12135411117978,0.9868552895723667,23.775772585910815,0.09287411166371799,0.9917773974113092,18.82786400699122,0.07354634377731346,0.9781421297223603,30.69477716393423,0.11990147329662071
mcq,2,noise-seed-07,0.5751989792881316,147.25093869776168,0.986062039132299,24.49932943649729,0.0957005056113217,0.9908268234246923,19.89919410805051,0.07773122698457571,0.9776683687005918,31.04234159228577,0.12125914684486885
mcq,3,noise-seed-00,0.5772982942452021,147.78836332677173,0.9813639562992428,28.399327097828692,0.1109348714758976,0.9862108853471612,24.45833925337148,0.09554038770848544,0.9677660629098965,37.456837975946506,0.14631577334354073
mcq,3,noise-seed-01,0.5784605705712775,148.08590606624705,0.9812005507575021,28.57936091123685,0.11163812855952338,0.9860611003284047,24.639069141813533,0.0962463638352122,0.967366718942843,37.73162751161807,0.1473891699672578
mcq,3,noise-seed-02,0.57714210778147,147.74837959205632,0.9819790021351292,27.923273478727218,0.10907528702628265,0.9869004930623919,23.836325925003322,0.09311064814454711,0.968317486722922,37.12953511746118,0.14503724655258246
mcq,3,noise-seed-03,0.5778777950291187,147.9367155274544,0.9816715105928869,28.193900935179993,0.1101324255280511,0.9864297943223305,24.28878545180676,0.09487806817112304,0.967994980065463,37.34488535594987,0.14587845842167885
mcq,3,noise-seed-04,0.5786236297440971,148.12764921448886,0.9809341124201247,28.787350956304618,0.11245058967306942,0.9858020152623883,24.872392446473427,0.09715778299404004,0.9679673511954717,37.38921321356287,0.14605161411547965
