optimizer_step,mse,rmse,l2_distance,mse_ratio_to_m0,l2_distance_ratio_to_m0,teacher_normalized_rmse,gradient_norm,gradient_nonzero_fraction,x_T_update_norm,elapsed_seconds
24,0.1088639423251152,0.32994536263617225,84.4660128348601,0.8769664337527864,0.9364648598600944,0.5039903237486966,0.00011487982565479477,0.999481201171875,5.265797018923372,23.825804457068443
25,0.108602374792099,0.32954874418225144,84.36447851065637,0.874859345384356,0.935339160617343,0.5033844905240706,0.00011220029255701863,0.99951171875,5.216496408483683,24.76685010176152
26,0.10835301131010056,0.32917018593745784,84.2675675999892,0.8728505682002331,0.9342647206227115,0.5028062442022344,0.00011780876865783963,0.999359130859375,5.183284226002911,25.70570212509483
27,0.10808609426021576,0.32876449665408786,84.16371114344649,0.8707003861624908,0.9331132761688103,0.5021865553191012,0.00011363687512151621,0.999664306640625,5.176743075804084,26.645528321154416
28,0.10780813544988632,0.3283414921234999,84.05542198361597,0.8684612559103748,0.9319126868491355,0.5015404174597451,0.00011129471490468728,0.9997711181640625,5.175814930645635,27.72658698167652
29,0.1075524240732193,0.3279518624329176,83.9556767828269,0.8664013425058429,0.9308068234095852,0.5009452595453263,0.00010809908909321705,0.9998321533203125,5.179104226292276,28.665454938076437
30,0.10727559030056,0.32752952584547246,83.84755861644095,0.8641712751284708,0.9296081298743416,0.500300141966656,0.00010576684818888153,0.999725341796875,5.181883938316756,29.609739282168448
31,0.10702651739120483,0.32714907518011543,83.75016324610955,0.8621648386868315,0.9285283187317613,0.4997190049793932,0.0001142846867605891,0.9992218017578125,5.165619088591845,30.552687586285174
32,0.1067730188369751,0.32676140965079564,83.65092087060368,0.8601227509365971,0.9274280300576412,0.4991268473140541,0.00011180144215515173,0.99951171875,5.169477920696061,31.627736994065344
33,0.10652253031730652,0.3263778949581398,83.55274110928379,0.8581049108777304,0.9263395224634057,0.4985410300364003,0.00010346564901404852,0.9997711181640625,5.182711455676642,32.61778842844069
34,0.10625094175338745,0.325961564840684,83.4461605992151,0.8559170969031377,0.9251578767449032,0.4979050873184715,0.00010208531080196356,0.9997711181640625,5.203385514087599,33.55892979633063
35,0.10601562261581421,0.32560040327956324,83.35370323956819,0.8540214556057182,0.9241328127524302,0.49735341436674235,0.00010108890411133833,0.9998016357421875,5.224697707489732,34.542241542600095
