optimizer_step,epoch_zero,learning_rate,ce_mean,objective_mean,residual_penalty_mean,coefficient_penalty_mean,residual_coefficient_norm_mean,residual_rms_mean,image_saturation_fraction_mean,mean_residual_coefficient_max_abs,mean_residual_delta_max_abs,gradient_norm,gradient_nonzero_fraction,basis_parameter_norm,gradient_clipped,ce_moving_mean_16_optimizer_steps
14,0,0.001,1.5432988703250885,1.5432988703250885,0.0,1.5886860091351984e-09,0.024097097721027836,0.02523181156720966,0.09628566106160481,4.1599076183729267e-08,5.41436975254328e-08,2.224549564938963,0.9973835390478357,24.929823235998466,False,1.1500008989657675
15,0,0.001,0.9857576489448547,0.9857576489448547,0.0,4.52204038103865e-09,0.03822992354460845,0.038616722682490945,0.1070721944173177,3.156148764560385e-08,1.5808477371592744e-07,2.8352833430855524,0.9972697798760025,25.014331430484294,False,1.1390513489643732
16,0,0.001,0.9271342530846596,0.9271342530846596,0.0,1.7678735420023628e-09,0.028768866695552297,0.012201556004583836,0.10368291536966959,1.666032645175619e-08,5.7277478759942824e-08,1.2925137173159682,0.9971218929526193,25.099465350741795,False,1.1258065304718912
17,0,0.001,0.8718486130237579,0.8718486130237579,0.0,3.6617577858777395e-09,0.04105742064540616,0.024459715466946363,0.10545738538106282,3.611462062735882e-08,7.500273824234682e-08,1.4679696795845618,0.9970081337807861,25.18399972003234,False,1.1327214133925736
18,0,0.001,1.095603108406067,1.095603108406067,0.0,5.126175595115967e-09,0.04779973839720308,0.05329225771129131,0.10816868146260579,2.421438694000244e-08,1.1667532362480415e-07,2.352857679690892,0.9968943746089528,25.26473000348056,False,1.1318858698941767
19,0,0.001,1.3038933649659157,1.3038933649659157,0.0,1.0595191168860651e-08,0.06728184831562385,0.05450036469846964,0.1119857629140218,1.955777406692505e-08,3.5778072060566046e-08,4.7457250219557805,0.9968374950230362,25.34306878985332,False,1.13863530382514
20,0,0.001,1.3890676945447922,1.3890676945447922,0.0,1.5018399190935838e-08,0.08361540809209614,0.101543502882123,0.09577473004659016,2.1730860666480112e-08,3.3811122790439185e-08,1.9906478565242476,0.9967692395199363,25.420733816718762,False,1.153675134293735
21,0,0.001,1.67596136033535,1.67596136033535,0.0,7.939834234527154e-09,0.06129650837633217,0.06520780920982361,0.10254685084025064,7.285012060265217e-08,1.0537467431959158e-07,5.84985550198001,0.9966668562652864,25.496263889510498,False,1.1828616997227073
22,0,0.001,0.8689345270395279,0.8689345419406891,0.0,1.5867834046723317e-08,0.08326838539790947,0.052758886478841305,0.10911345481872559,2.5507890910603237e-08,1.9579721310947207e-07,4.3727990702089405,0.9966327285137364,25.572183628085927,False,1.1658914564177394
23,0,0.001,1.346752107143402,1.346752107143402,0.0,1.1081888517949778e-08,0.0707299767620903,0.03747907094657421,0.10387889544169107,2.121345943351116e-08,8.210957247456463e-08,2.576065611312282,0.9965189693419032,25.648842843143555,False,1.180426487699151
