optimizer_step,mse,rmse,l2_distance,mse_ratio_to_m0,l2_distance_ratio_to_m0,teacher_normalized_rmse,gradient_norm,gradient_nonzero_fraction,x_T_update_norm,elapsed_seconds
16,0.1405271589756012,0.3748695226016663,95.96659778602657,0.6313866296741643,0.7945984077974007,0.5726118123013755,0.0022125802157484217,0.9997406005859375,5.474102887430109,16.065323810093105
17,0.13841775059700012,0.37204536094003393,95.24361240064869,0.621909086283405,0.7886121266398363,0.5682979157859264,0.0018646380571259264,0.99951171875,5.311253402356816,17.007085621356964
18,0.136787548661232,0.36984800751285923,94.68108992329196,0.6145846109761682,0.7839544699637653,0.5649414665353477,0.001542149376981165,0.999481201171875,5.115804810508021,17.948557128198445
19,0.13531970977783203,0.3678582740374777,94.17171815359428,0.607989630673069,0.7797368983657685,0.5619021559949025,0.0014405479008384053,0.99981689453125,4.937868495862414,18.88860985264182
20,0.13407251238822937,0.36615913533357236,93.73673864539452,0.602385989625317,0.776135290800075,0.5593067278954341,0.0018102619734361456,0.999725341796875,4.732260310151689,19.954783205874264
21,0.13299712538719177,0.3646877093996887,93.3600536063203,0.597554290335798,0.7730163583882285,0.5570591302117898,0.0017430311583669642,0.9997100830078125,4.574411471161675,20.896844630129635
22,0.13198214769363403,0.36329347323291405,93.003129147626,0.592994009249911,0.770061042547869,0.5549294396125322,0.0017732895200589442,0.9996337890625,4.420643365696854,21.83777609001845
23,0.13116595149040222,0.3621684021148204,92.71511094139402,0.589326850718649,0.7676762668720775,0.5532108976317691,0.0016767672005613059,0.999603271484375,4.29219684289267,22.786763143725693
24,0.13032777607440948,0.36100938502261887,92.41840256579043,0.5855609398809348,0.7652195370486399,0.5514405033008356,0.0014419542479848695,0.9996337890625,4.166455013307935,23.90314563550055
25,0.12968608736991882,0.36011954594262,92.19060376131073,0.5826778411875451,0.7633333748681143,0.5500812773901281,0.0017871609640898308,0.9996795654296875,4.0101079129716535,24.84843393974006
26,0.12925729155540466,0.35952370096476904,92.03806744698088,0.5807512673770584,0.7620703821675912,0.5491711263854532,0.0029156335517718296,0.9993743896484375,3.9005611362051296,25.7855027820915
27,0.12863746285438538,0.3586606513884474,91.81712675544253,0.5779663853843908,0.7602410048033392,0.5478528213427447,0.0016609418932088326,0.999725341796875,3.7647512245281805,26.725033375434577
28,0.1281416118144989,0.35796873021885434,91.63999493602671,0.5757385333508298,0.7587743626077714,0.5467959143097573,0.0018897463049888518,0.9995269775390625,3.6571732027179458,27.81229150108993
29,0.12770314514636993,0.3573557683127137,91.48307668805471,0.5737685085255042,0.7574750877259953,0.5458596172602906,0.0025790492407824737,0.9996490478515625,3.567287759220149,28.75732200499624
30,0.12713013589382172,0.3565531319366326,91.27760177577794,0.5711939856832589,0.7557737662047147,0.544633593157992,0.002275423451339953,0.9993743896484375,3.47957016371813,29.704661232419312
31,0.12671422958374023,0.35596942225946915,91.1281720984241,0.5693253242423187,0.7545364962957848,0.5437419787803315,0.0022228712369537183,0.9994659423828125,3.3815520070155665,30.646198185160756
32,0.1261986941099167,0.3552445553557671,90.94260617107638,0.5670090303126063,0.7530000201278924,0.5426347472600801,0.0025702196878055338,0.9994049072265625,3.275569550235522,31.778915722854435
33,0.12575247883796692,0.35461595964926185,90.78168567021103,0.5650041911148366,0.7516676068015945,0.5416745696382538,0.002027990243401541,0.99957275390625,3.1518576329724968,32.719307380728424
34,0.12540297210216522,0.3541228206458392,90.65544208533484,0.5634338620654564,0.750622316525066,0.5409213016304772,0.002948201955966977,0.9995574951171875,3.0820708076678054,33.66244892217219
35,0.12492301315069199,0.3534444979776768,90.48179148228526,0.561277412970764,0.7491844986188408,0.5398851662582391,0.002095478916118498,0.9995880126953125,3.013929953026305,34.602243402041495
